sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,Pixel_DistanceToNOCentroid,Pixel_DistanceToNWCentroid,Pixel_DistanceToSOCentroid,Pixel_DistanceToSWCentroid,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,Resolve_Biome,arbuscular_mycorrhizal_richness,Pixel_Lat,Pixel_Long,CV_Fold_Random,CV_Fold_Spatial
S3363,1764.0,247.5,1121.76147460937,331.5,86.5999984741211,18,357.0,1970.0,3870.0,0.31622725725174,0.353553652763367,28.0,0.180314883589745,0.25,1.68552076816559,0.0,42.5550231933594,8134.94921875,200.0,64.4683074951172,13.4860734939575,62.6426887512207,9025.74609375,14155.7744140625,10976.7744140625,5846.74609375,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0,7.0,-18.9375,34.4541664123535,1,10
S6768,1260.0,126.599873941692,3311.09692382813,180.566476053691,24.2983322143555,0,266.0,-809.0,5397.0,0.178679093718529,0.983178436756134,1849.0,5.4882984161377,-1.25,0.0,0.0,12.07164478302,9696.0947265625,198.757888793945,42.4642868041992,173.340545654297,52.8579063415527,10264.0771484375,6546.0380859375,9738.4423828125,13456.482421875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,16.7329998016357,19.8208332061768,-155.320831298828,1,4
S5035,1214.0,169.467395017737,1571.87854003906,307.450869726989,56.2016525268555,41,765.0,475.0,2557.0,0.122175917029381,0.310281306505203,198.0,3.63102960586548,-4.8125,0.0,146.328628540039,22.3459548950195,6883.693359375,200.0,31.417200088501,20.2363700866699,61.7425346374512,2509.22509765625,11475.3427734375,17493.294921875,8527.1767578125,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,27.9969997406006,29.654167175293,111.037498474121,1,10
S944,1555.0,251.533182396502,1617.13464355469,311.5,52.1966857910156,88,321.0,2928.0,4293.0,0.0968419760465622,0.847387313842773,119.0,1.10477316379547,-0.25,0.0,0.0,108.002136230469,8016.1640625,200.0,64.9689331054688,19.4438076019287,49.8663673400879,10102.689453125,9079.6796875,9899.830078125,10922.8388671875,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,94.0,5.25416660308838,-6.50416660308838,2,10
S7581,934.0,16.5167746339976,602.65283203125,206.516774633998,65.2983551025391,0,986.0,3801.0,2360.0,0.939625978469849,-0.34219628572464,1161.5,2.06214833259583,-0.875,0.0,0.0,82.9573364257813,5853.595703125,200.0,37.3474311828613,150.082870483398,54.9116744995117,8760.6611328125,2194.21801757813,11241.8583984375,17808.30078125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,3.0,53.8041648864746,-117.329170227051,1,7
S4686,959.0,29.516736053999,629.940307617188,209.533472107998,63.5982971191406,0,799.0,700.0,2651.0,0.893956899642944,0.19624337553978,931.0,2.0269079208374,1.5,0.0,0.0,123.628974914551,6371.49169921875,196.767944335938,39.6119804382324,161.770156860352,54.2619667053223,8665.017578125,2263.42993164063,11337.5009765625,17739.08984375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1.0,54.5625,-118.0625,2,7
S5108,922.0,26.5164175108955,593.220336914063,214.516696942001,61.2033157348633,0,884.0,3874.0,2619.0,-0.263716578483582,0.585990607738495,1097.0,1.72063374519348,2.875,0.0,0.0,100.169067382813,5081.91796875,200.0,36.0678749084473,129.343063354492,63.4152412414551,8818.63671875,2154.64404296875,11183.8828125,17847.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,4.0,53.3375015258789,-116.920829772949,3,7
S2292,788.0,75.5499924108601,923.760314941406,208.549712003728,21.495002746582,23,337.0,2957.0,4168.0,0.237773805856705,0.744687497615814,719.5,2.84063601493835,4.875,0.0,0.0,94.2636413574219,7244.19873046875,200.0,26.1248283386231,53.933780670166,58.1777229309082,5875.6279296875,7040.921875,14126.8916015625,12961.5966796875,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,24.0,48.4625015258789,9.46249961853027,1,3
S1173,1928.0,251.632092794639,1726.14770507813,396.63181201597,122.800041198731,36,251.0,3354.0,5427.0,0.62494558095932,0.766026616096497,513.0,11.6344470977783,2.875,3.27593946456909,0.0,90.8135147094727,5562.67919921875,112.319374084473,34.471004486084,31.1316299438477,62.2524757385254,2614.43701171875,12506.728515625,17388.08203125,7495.7900390625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,60.0,22.3708324432373,81.904167175293,3,4
S3596,1239.0,78.6171680499865,380.879180908203,252.616886965102,89.0983428955078,10,1033.0,2708.0,4581.0,0.990202128887177,0.0144090503454208,1770.5,8.46897506713867,6.6875,0.0,0.0,0.0,1978.23059082031,200.0,33.9887351989746,11.4239673614502,82.1241683959961,1640.24304199219,10852.291015625,18362.275390625,9150.228515625,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,20.4990005493164,36.4458351135254,105.912498474121,1,1
